Interval=	0.001 s
ExcelDateTime=	4.5034649974269007e+004	18/04/2023 15:35:57.776842
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	Finapres derivative	Finapres NIBP	SBP	DBP	MAP	Heart rate
Range=	5.000 mV	1508.32 mmHg/s	10.000 V	100.0000 mmHg	100.0000 mmHg	100.0170 mmHg	110 BPM
UnitName=	*	*	mmHg	*	*	*	*
TopValue=	*	*	1000.00	*	*	*	*
BottomValue=	*	*	-1000.00	*	*	*	*
263.001	-0.1604752	-72.44277	91.875	NaN	NaN	NaN	NaN
263.002	-0.1675201	-57.95473	92.03125	NaN	NaN	NaN	NaN
263.003	-0.1765492	-43.46597	91.78125	NaN	NaN	NaN	NaN
263.004	-0.1869116	-35.79521	91.75	NaN	NaN	NaN	NaN
263.005	-0.1977369	-30.96599	91.75	NaN	NaN	NaN	NaN
263.006	-0.2083908	-21.30687	91.65625	NaN	NaN	NaN	NaN
263.007	-0.218329	-16.19357	91.71875	NaN	NaN	NaN	NaN
263.008	-0.2270148	-4.261017	91.71875	NaN	NaN	NaN	NaN
263.009	-0.2342538	2.841055	91.78125	NaN	NaN	NaN	NaN
263.01	-0.2396749	3.692985	91.625	NaN	NaN	NaN	NaN
263.011	-0.2432631	9.090603	91.75	NaN	NaN	NaN	NaN
263.012	-0.2452224	11.64776	91.75	NaN	NaN	NaN	NaN
263.013	-0.2458047	22.72773	91.6875	NaN	NaN	NaN	NaN
263.014	-0.245528	21.0225	91.8125	NaN	NaN	NaN	NaN
263.015	-0.244519	31.81815	91.71875	NaN	NaN	NaN	NaN
263.016	-0.2429984	26.13658	91.8125	NaN	NaN	NaN	NaN
263.017	-0.2412055	26.13664	91.875	NaN	NaN	NaN	NaN
263.018	-0.2393637	27.27264	92.03125	NaN	NaN	NaN	NaN
263.019	-0.2376578	19.88649	91.8125	NaN	NaN	NaN	NaN
263.02	-0.2361872	11.3638	92.03125	NaN	NaN	NaN	NaN
263.021	-0.2349757	-6.534279	91.90625	NaN	NaN	NaN	NaN
263.022	-0.2339979	-9.374798	91.9375	NaN	NaN	NaN	NaN
263.023	-0.2332262	-18.46636	92	NaN	NaN	NaN	NaN
263.024	-0.2325649	-15.05661	91.9375	NaN	NaN	NaN	NaN
263.025	-0.2320401	-27.27276	91.8125	NaN	NaN	NaN	NaN
263.026	-0.2316292	-33.52267	91.71875	NaN	NaN	NaN	NaN
263.027	-0.2312888	-37.78422	91.9375	NaN	NaN	NaN	NaN
263.028	-0.2309773	-47.72752	91.75	NaN	NaN	NaN	NaN
263.029	-0.2306767	-55.11349	91.8125	NaN	NaN	NaN	NaN
263.03	-0.2304272	-66.47741	91.6875	NaN	NaN	NaN	NaN
263.031	-0.230262	-78.69303	91.53125	NaN	NaN	NaN	NaN
263.032	-0.230196	-99.4317	91.625	NaN	NaN	NaN	NaN
263.033	-0.230206	-99.14726	91.40625	NaN	NaN	NaN	NaN
263.034	-0.2303374	-111.0792	91.28125	NaN	NaN	NaN	NaN
263.035	-0.2305663	-119.6025	91.125	NaN	NaN	NaN	NaN
263.036	-0.2308682	-129.5455	91.09375	NaN	NaN	NaN	NaN
263.037	-0.2311928	-146.5911	90.875	NaN	NaN	NaN	NaN
263.038	-0.2314408	-150.568	90.90625	NaN	NaN	NaN	NaN
263.039	-0.2315979	-157.9547	90.65625	NaN	NaN	NaN	NaN
263.04	-0.2315679	-162.7837	90.4375	NaN	NaN	NaN	NaN
263.041	-0.2312699	-171.0227	90.28125	NaN	NaN	NaN	NaN
